MSN,Circle,Division,Subdivision,Section,FeederName,Lat,Long,plotLat,plotLong,Forecast_kWh,Forecast_MU,Actual_kWh,color,rank
19409327,Chennai  Central,TNagar,THYAGARAJ NAGAR,T.NAGAR CENTRAL,220611-11 KV SOUTH BOAG ROAD,13.032,80.242,13.032275,80.242476,1852006.446,1.852006,1746184.0,"rgb(238,125,18)",35
19407587,South I Chennai,KK Nagar,Kodambakkam,Rangarajapuram,11KV MAHENDRA,13.053,80.22,13.05279,80.219492,1835906.65,1.835907,1915458.0,"rgb(239,127,18)",36
19409642,Chennai  Central,TNagar,THYAGARAJ NAGAR,T.NAGAR EAST,220605-11 KV POULTRY,13.032,80.242,13.032,80.24145,1823361.641,1.823362,1747264.0,"rgb(239,129,18)",37
05021684,Chennai  Central,TNagar,THYAGARAJ NAGAR,T.NAGAR CENTRAL,222609-11 KV ADYAR GATE,13.093,80.239,13.093,80.23955,1821282.996,1.821283,1587430.0,"rgb(239,129,18)",38
19409847,Chennai  Central,TNagar,THYAGARAJ NAGAR,T.NAGAR EAST,222508-11 KV   REDDYKUPPAM (PS),13.034,80.226,13.034514,80.225805,1781031.299,1.781031,2010453.0,"rgb(240,133,17)",39
19408979,Chennai  Central,TNagar,THYAGARAJ NAGAR,T.NAGAR EAST,223803-11 KV  BAZULLAH  ROAD,13.047,80.233,13.04645,80.233,1767693.849,1.767694,1951734.0,"rgb(240,135,16)",40
19408923,Chennai  Central,TNagar,SAIDAPET,SAIDAPET EAST,222703-11 KV  GUINDY,13.024,80.23,13.024453,80.230312,1738273.309,1.738273,1680450.0,"rgb(241,138,16)",41
19407589,South I Chennai,KK Nagar,Kodambakkam,Rangarajapuram,11KV BAJANAI KOVIL,13.053,80.22,13.052492,80.21979,1736837.06,1.736837,1661712.0,"rgb(241,138,15)",42
19408765,Chennai  Central,TNagar,THYAGARAJ NAGAR,T.NAGAR EAST,223809-11 KV  CANARA BANK,13.047,80.233,13.047275,80.232524,1731872.864,1.731873,1840616.0,"rgb(241,139,15)",43
19407592,South I Chennai,KK Nagar,Kodambakkam,Rangarajapuram,920710-GANGA,13.053,80.22,13.052492,80.22021,1726801.476,1.726801,995607.0,"rgb(241,139,15)",44
19407330,South I Chennai,KK Nagar,Kodambakkam,Rangarajapuram,11KV PERIYAR PATHAI,13.053,80.22,13.05321,80.219492,1692129.901,1.69213,1438674.0,"rgb(242,143,14)",45
19409848,Chennai  Central,TNagar,WEST MAMBALAM II,WEST MAMBALAM II,222501-11 KV KESAVAPERUMAL,13.034,80.226,13.034365,80.225588,1691350.738,1.691351,722112.0,"rgb(242,143,14)",46
19408980,Chennai  Central,Mylapore,NUNGAMBAKKAM,NUNGAMBAKKAM,223804-11 KV  RAJAN STREET,13.047,80.233,13.046524,80.233275,1689676.506,1.689677,1727128.0,"rgb(242,143,14)",47
05021960,Chennai  Central,TNagar,THYAGARAJ NAGAR,T.NAGAR EAST,222608-11 KV V. R .C ROAD,13.093,80.239,13.093188,80.238483,1649312.971,1.649313,1800758.0,"rgb(243,148,13)",48
05022116,Chennai  Central,TNagar,THYAGARAJ NAGAR,T.NAGAR EAST,220511-11 KV  ABUTSBURRY ,13.053,80.243,13.053275,80.242524,1641674.299,1.641674,1176698.0,"rgb(243,149,13)",49
19409110,Chennai  Central,Mylapore,NUNGAMBAKKAM,NUNGAMBAKKAM,222801-11 KV  GEMINI,13.054,80.25,13.054389,80.249611,1641360.448,1.64136,1677440.0,"rgb(243,149,13)",50
19409328,Chennai  Central,TNagar,THYAGARAJ NAGAR,T.NAGAR EAST,220602-11 KV S.M NAGAR,13.032,80.242,13.032476,80.242275,1635493.199,1.635493,1992368.0,"rgb(243,149,13)",51
19410179,Chennai  Central,TNagar,T NAGAR SOUTH,T.NAGAR SOUTH,223010-11 KV Ramanathan Feeder,13.03,80.237,13.029458,80.237096,1627676.619,1.627677,1640643.0,"rgb(243,150,13)",52
19408904,Chennai  Central,TNagar,THYAGARAJ NAGAR,T.NAGAR EAST,222623-11 KVHOLY ANGLES,13.093,80.239,13.092458,80.239096,1625787.836,1.625788,1653978.0,"rgb(243,150,13)",53
19408978,Chennai  Central,TNagar,USMAN ROAD,USMANROAD,223802-11 KV  CHARI STREET,13.047,80.233,13.046524,80.232725,1613385.801,1.613386,1802288.0,"rgb(244,152,12)",54
05021689,Chennai  Central,TNagar,THYAGARAJ NAGAR,T.NAGAR EAST,222611-11 KV LOCAL,13.093,80.239,13.093188,80.239517,1587376.471,1.587376,2108314.0,"rgb(244,155,12)",55
19410178,Chennai  Central,TNagar,THYAGARAJ NAGAR,T.NAGAR EAST,223002-11KV MOTHILAL FDR,13.03,80.237,13.029524,80.236725,1586706.894,1.586707,1653123.0,"rgb(244,155,12)",56
19409330,Chennai  Central,TNagar,THYAGARAJ NAGAR,T.NAGAR EAST,220603-11 KV  VENKATANARAYANA ROAD ,13.032,80.242,13.032476,80.241725,1560569.261,1.560569,1434588.0,"rgb(245,158,11)",57
05021953,Chennai  Central,TNagar,THYAGARAJ NAGAR,T.NAGAR EAST,222603-11 KV BASHYAM ,13.093,80.239,13.093542,80.239096,1558330.871,1.558331,1276776.0,"rgb(245,158,11)",58
05021954,Chennai  Central,TNagar,THYAGARAJ NAGAR,T.NAGAR EAST,222604-11 KV RAJAMANNAR,13.093,80.239,13.093542,80.238904,1545413.527,1.545414,1869512.0,"rgb(243,158,12)",59
19407257,South I Chennai,KK Nagar,Kodambakkam,Rangarajapuram,920705-NUNGAMBAKKAM,13.053,80.22,13.05355,80.22,1530205.597,1.530206,1492305.0,"rgb(240,159,13)",60
19409998,Chennai  Central,TNagar,THYAGARAJ NAGAR,T.NAGAR EAST,222503-11 KV   MADLEY,13.034,80.226,13.033454,80.226066,1518949.981,1.51895,1851759.0,"rgb(238,159,14)",61
19407226,South I Chennai,KK Nagar,Kodambakkam,Rangarajapuram,920701-0.1 MAMBALAM,13.053,80.228,13.053,80.228,1475258.753,1.475259,1286169.0,"rgb(229,161,17)",62
05022111,Chennai  Central,TNagar,THYAGARAJ NAGAR,T.NAGAR NORTH,220507-11 KV  THRUMALAIPILLAIROAD,13.053,80.243,13.053476,80.243275,1449882.589,1.449883,1015920.0,"rgb(224,162,19)",63
19408763,Chennai  Central,TNagar,THYAGARAJ NAGAR,T.NAGAR EAST,223806-11 KV ARULAMBAL,13.047,80.233,13.047476,80.232725,1446845.442,1.446845,1697378.0,"rgb(224,162,19)",64
19408775,Chennai  Central,TNagar,USMAN ROAD,USMANROAD,223812-11 KV PARTHASARATHY PURAM,13.047,80.233,13.047,80.23245,1386274.668,1.386275,1450802.0,"rgb(212,164,24)",65
05021686,Chennai  Central,Mylapore,NUNGAMBAKKAM,NUNGAMBAKKAM,11KV PUMPING STATION,13.053,80.243,13.053,80.24355,1386240.185,1.38624,0.0,"rgb(212,164,24)",66
XC451372,Chennai  Central,TNagar,WEST MAMBALAM I,WEST MAMBALAM I,11KV RATHANA,13.032,80.242,13.031725,80.242476,1381554.657,1.381555,1944079.0,"rgb(211,164,24)",67
19409047,Chennai  Central,TNagar,T NAGAR SOUTH,T.NAGAR SOUTH,222706-11 KV  CIT NAGAR,13.024,80.23,13.024132,80.229466,1378397.602,1.378398,937959.0,"rgb(210,164,25)",68
19409290,Chennai  Central,Mylapore,NUNGAMBAKKAM,NUNGAMBAKKAM,222808-11 KV    EGMORE,13.055,80.251,13.055,80.251,1355936.407,1.355936,1654876.0,"rgb(206,165,26)",69
19410180,Chennai  Central,TNagar,THYAGARAJ NAGAR,T.NAGAR EAST,223011-11 KV SOUTH WEST BOAG ROAD,13.03,80.237,13.029646,80.237421,1313953.014,1.313953,1461597.0,"rgb(198,167,30)",70
19409541,Chennai  Central,TNagar,THYAGARAJ NAGAR,T.NAGAR EAST,223005-11 KV HOUSING BOARD,13.03,80.237,13.030354,80.237421,1303561.898,1.303562,2031390.0,"rgb(196,167,30)",71
19408788,Chennai  Central,TNagar,THYAGARAJ NAGAR,T.NAGAR EAST,222626-11KV ARCOT STREET,13.093,80.239,13.093,80.23845,1282401.602,1.282402,1522974.0,"rgb(192,168,32)",72
19408694,Chennai  Central,Mylapore,NUNGAMBAKKAM,NUNGAMBAKKAM,222804-11 KV INDUSTRIAL,13.054,80.251,13.054,80.251,1266302.168,1.266302,199994.0,"rgb(189,168,33)",73
19410177,Chennai  Central,TNagar,THYAGARAJ NAGAR,T.NAGAR EAST,223001-11KV SADULLA FDR,13.03,80.237,13.029812,80.236483,1251554.106,1.251554,1480884.0,"rgb(186,169,34)",74
19409641,Chennai  Central,TNagar,THYAGARAJ NAGAR,T.NAGAR EAST,220601-11 KV TELEPHONE EXCHANGE ,13.032,80.242,13.032275,80.241524,1248564.549,1.248565,872220.0,"rgb(185,169,34)",75
19408847,Chennai  Central,Mylapore,NUNGAMBAKKAM,NUNGAMBAKKAM,222809-11 KV  TELEPHONE EXCHANGE,13.054,80.25,13.05455,80.25,1238004.21,1.238004,1301632.0,"rgb(183,169,35)",76
19408761,Chennai  Central,TNagar,T NAGAR SOUTH,T.NAGAR SOUTH,223807-11 KV  USMAN ROAD,13.047,80.233,13.047476,80.233275,1195165.206,1.195165,1364344.0,"rgb(175,171,39)",77
19409644,Chennai  Central,TNagar,WEST MAMBALAM I,WEST MAMBALAM I,11KV CHITARANJAN,13.032,80.242,13.031524,80.241725,1189823.939,1.189824,1224456.0,"rgb(174,171,39)",78
19409577,Chennai  Central,Mylapore,NUNGAMBAKKAM,NUNGAMBAKKAM,222803-11 KV  ADAYAR,13.053,80.251,13.053,80.251,1183680.08,1.18368,700206.0,"rgb(173,171,39)",79
19409924,Chennai  Central,TNagar,THYAGARAJ NAGAR,T.NAGAR EAST,222610-11 KV ELDAMS,13.093,80.239,13.092524,80.239275,1162492.188,1.162492,1856140.0,"rgb(169,172,41)",80
19409996,Chennai  Central,TNagar,USMAN ROAD,USMANROAD,222504 11 KV CMWSSB FDR,13.034,80.226,13.033635,80.225588,1147703.362,1.147703,1403367.0,"rgb(166,173,42)",81
19409542,Chennai  Central,TNagar,THYAGARAJ NAGAR,T.NAGAR EAST,223006-11 KV MOSQUE,13.03,80.237,13.030542,80.237096,1127090.954,1.127091,1682694.0,"rgb(162,173,44)",82
19410000,Chennai  Central,TNagar,WEST MAMBALAM I,WEST MAMBALAM I,222513-11 KV    UMAPATHY,13.034,80.226,13.033744,80.226487,1078570.795,1.078571,793452.0,"rgb(152,175,47)",83
19409326,Chennai  Central,TNagar,THYAGARAJ NAGAR,T.NAGAR EAST,220612-11 KV GUNA COMPLEX,13.032,80.242,13.032,80.24255,1066034.493,1.066034,756702.0,"rgb(150,176,48)",84
19408748,Chennai  Central,TNagar,WEST MAMBALAM I,WEST MAMBALAM I,222514-11 KV   KALIKOIL,13.034,80.226,13.034256,80.226487,1054911.783,1.054912,1370079.0,"rgb(148,176,49)",85
05074272,Chennai  Central,TNagar,THYAGARAJ NAGAR,T.NAGAR EAST,220508- 11 KV  GOKULAM COLONY,13.053,80.243,13.052524,80.243275,1038979.145,1.038979,780732.0,"rgb(145,177,50)",86
19408862,Chennai  Central,TNagar,THYAGARAJ NAGAR,T.NAGAR EAST,222617-11 KV NORTH USMAN ROAD,13.093,80.239,13.092524,80.238725,1036377.453,1.036377,1764093.0,"rgb(144,177,51)",87
19409997,Chennai  Central,TNagar,THYAGARAJ NAGAR,T.NAGAR EAST,222502-11 KV  LAKEVIEW ROAD,13.034,80.226,13.033486,80.225805,1031801.676,1.031802,831852.0,"rgb(143,177,51)",88
19408986,Chennai  Central,Mylapore,NUNGAMBAKKAM,NUNGAMBAKKAM,222417-11KV G.N.CHETTY ROAD FEEDER,13.047,80.249,13.046725,80.248524,1029418.033,1.029418,1277358.0,"rgb(143,177,51)",89
19410176,Chennai  Central,TNagar,THYAGARAJ NAGAR,T.NAGAR EAST,223003-11 KV USMAN ROAD,13.03,80.237,13.030188,80.236483,1014049.199,1.014049,1623963.0,"rgb(140,177,52)",90
19408787,Chennai  Central,TNagar,THYAGARAJ NAGAR,T.NAGAR EAST,222416-11KV KAMARAJAR MEMORIAL FEEDER,13.047,80.249,13.047,80.24845,995402.503,0.995403,771276.0,"rgb(136,178,54)",91
19409106,Chennai  Central,Mylapore,NUNGAMBAKKAM,NUNGAMBAKKAM,222810-11 KV   CANARA BANK,13.056,80.252,13.056,80.252,992809.391,0.992809,957728.0,"rgb(136,178,54)",92
19408689,Chennai  Central,TNagar,THYAGARAJ NAGAR,T.NAGAR EAST,222407-11KV STELLA MARRY,13.047,80.249,13.04755,80.249,990115.01,0.990115,571620.0,"rgb(135,178,54)",93
19409925,Chennai  Central,Mylapore,NUNGAMBAKKAM,NUNGAMBAKKAM,11KV ADDI SON,13.054,80.25,13.053611,80.250389,984265.244,0.984265,1570548.0,"rgb(134,179,55)",94
19409046,Chennai  Central,TNagar,THYAGARAJ NAGAR,T.NAGAR EAST,222724-11 KV  SASTHRI NAGAR,13.024,80.23,13.024365,80.229588,951597.02,0.951597,912384.0,"rgb(128,180,57)",95
19409578,Chennai  Central,Mylapore,NUNGAMBAKKAM,NUNGAMBAKKAM,222816-THIRUMURTHY NAGAR,13.054,80.25,13.054,80.24945,937142.262,0.937142,0.0,"rgb(125,180,58)",96
